t	10.0, 47.0,                  0.000862738331464067, 0.003487681804689819
table	1.0, 1.0,                  8.62738331464067e-05, 7.420599584446424e-05
tablet	1.0, 0.0,                  8.62738331464067e-05, 0.0
tablets	0.0, 1.0,                  0.0, 7.420599584446424e-05
tag	0.0, 1.0,                  0.0, 7.420599584446424e-05
take	7.0, 7.0,                  0.0006039168320248468, 0.0005194419709112497
taken	2.0, 0.0,                  0.0001725476662928134, 0.0
takeover	2.0, 0.0,                  0.0001725476662928134, 0.0
takes	0.0, 6.0,                  0.0, 0.0004452359750667854
taking	2.0, 2.0,                  0.0001725476662928134, 0.00014841199168892847
takriti	5.0, 0.0,                  0.0004313691657320335, 0.0
talent	2.0, 0.0,                  0.0001725476662928134, 0.0
talk	2.0, 3.0,                  0.0001725476662928134, 0.0002226179875333927
talked	1.0, 0.0,                  8.62738331464067e-05, 0.0
talking	0.0, 2.0,                  0.0, 0.00014841199168892847
tall	0.0, 1.0,                  0.0, 7.420599584446424e-05
tamarchenko	4.0, 0.0,                  0.0003450953325856268, 0.0
tang	5.0, 0.0,                  0.0004313691657320335, 0.0
tangible	1.0, 0.0,                  8.62738331464067e-05, 0.0
tantalum	0.0, 1.0,                  0.0, 7.420599584446424e-05
tanya	4.0, 0.0,                  0.0003450953325856268, 0.0
target	1.0, 8.0,                  8.62738331464067e-05, 0.0005936479667557139
targeted	0.0, 10.0,                  0.0, 0.0007420599584446423
targeting	0.0, 1.0,                  0.0, 7.420599584446424e-05
tarrif	2.0, 0.0,                  0.0001725476662928134, 0.0
tarrin	0.0, 1.0,                  0.0, 7.420599584446424e-05
taught	0.0, 1.0,                  0.0, 7.420599584446424e-05
taylor	1.0, 0.0,                  8.62738331464067e-05, 0.0
taylorja	1.0, 0.0,                  8.62738331464067e-05, 0.0
tea	0.0, 2.0,                  0.0, 0.00014841199168892847
teach	0.0, 1.0,                  0.0, 7.420599584446424e-05
teacher	0.0, 1.0,                  0.0, 7.420599584446424e-05
teachers	0.0, 1.0,                  0.0, 7.420599584446424e-05
team	16.0, 0.0,                  0.0013803813303425072, 0.0
tears	0.0, 1.0,                  0.0, 7.420599584446424e-05
technical	0.0, 2.0,                  0.0, 0.00014841199168892847
techniques	0.0, 2.0,                  0.0, 0.00014841199168892847
technology	2.0, 1.0,                  0.0001725476662928134, 7.420599584446424e-05
teco	2.0, 0.0,                  0.0001725476662928134, 0.0
teddy	0.0, 3.0,                  0.0, 0.0002226179875333927
tejones	2.0, 0.0,                  0.0001725476662928134, 0.0
tel	0.0, 1.0,                  0.0, 7.420599584446424e-05
tele	0.0, 1.0,                  0.0, 7.420599584446424e-05
telephone	3.0, 0.0,                  0.0002588214994392201, 0.0
teleseminar	0.0, 2.0,                  0.0, 0.00014841199168892847
television	0.0, 1.0,                  0.0, 7.420599584446424e-05
tell	0.0, 12.0,                  0.0, 0.0008904719501335708
tells	0.0, 1.0,                  0.0, 7.420599584446424e-05
tempted	0.0, 1.0,                  0.0, 7.420599584446424e-05
tenacity	0.0, 1.0,                  0.0, 7.420599584446424e-05
tenderer	0.0, 1.0,                  0.0, 7.420599584446424e-05
tendererlycopodium	0.0, 1.0,                  0.0, 7.420599584446424e-05
teosrest	0.0, 1.0,                  0.0, 7.420599584446424e-05
terence	0.0, 1.0,                  0.0, 7.420599584446424e-05
term	5.0, 1.0,                  0.0004313691657320335, 7.420599584446424e-05
terminate	0.0, 1.0,                  0.0, 7.420599584446424e-05
terms	5.0, 0.0,                  0.0004313691657320335, 0.0
terrific	0.0, 1.0,                  0.0, 7.420599584446424e-05
terry	0.0, 1.0,                  0.0, 7.420599584446424e-05
test	0.0, 1.0,                  0.0, 7.420599584446424e-05
testimonials	0.0, 2.0,                  0.0, 0.00014841199168892847
texaco	6.0, 0.0,                  0.0005176429988784402, 0.0
texas	1.0, 0.0,                  8.62738331464067e-05, 0.0
text	2.0, 13.0,                  0.0001725476662928134, 0.000964677945978035
texts	2.0, 0.0,                  0.0001725476662928134, 0.0
texture	0.0, 1.0,                  0.0, 7.420599584446424e-05
textures	0.0, 1.0,                  0.0, 7.420599584446424e-05
tgary	1.0, 0.0,                  8.62738331464067e-05, 0.0
th	9.0, 0.0,                  0.0007764644983176603, 0.0
than	11.0, 10.0,                  0.0009490121646104736, 0.0007420599584446423
thank	4.0, 2.0,                  0.0003450953325856268, 0.00014841199168892847
thanking	1.0, 2.0,                  8.62738331464067e-05, 0.00014841199168892847
thanks	33.0, 0.0,                  0.002847036493831421, 0.0
that	71.0, 100.0,                  0.006125442153394875, 0.0074205995844464235
the	453.0, 535.0,                  0.03908204641532223, 0.039700207776788364
their	12.0, 24.0,                  0.0010352859977568803, 0.0017809439002671415
them	7.0, 45.0,                  0.0006039168320248468, 0.0033392698130008903
themselves	1.0, 2.0,                  8.62738331464067e-05, 0.00014841199168892847
then	2.0, 25.0,                  0.0001725476662928134, 0.0018551498961116059
theqgrefor	0.0, 1.0,                  0.0, 7.420599584446424e-05
there	20.0, 24.0,                  0.001725476662928134, 0.0017809439002671415
therefore	3.0, 1.0,                  0.0002588214994392201, 7.420599584446424e-05
these	22.0, 18.0,                  0.0018980243292209473, 0.0013357079252003562
they	11.0, 47.0,                  0.0009490121646104736, 0.003487681804689819
thickness	0.0, 1.0,                  0.0, 7.420599584446424e-05
thimble	0.0, 1.0,                  0.0, 7.420599584446424e-05
thing	3.0, 7.0,                  0.0002588214994392201, 0.0005194419709112497
things	2.0, 5.0,                  0.0001725476662928134, 0.00037102997922232116
think	4.0, 7.0,                  0.0003450953325856268, 0.0005194419709112497
third	1.0, 2.0,                  8.62738331464067e-05, 0.00014841199168892847
thirty	0.0, 2.0,                  0.0, 0.00014841199168892847
this	99.0, 90.0,                  0.008541109481494263, 0.006678539626001781
